"","ASSAULT","BATTERY","HOMICIDE","ROBBERY"
"2002-02-09",80,230,2,38
"2002-02-10",53,200,2,24
"2002-02-11",85,182,2,30
"2002-02-12",74,191,0,56
"2002-02-13",82,190,0,36
"2002-02-14",74,207,0,45
"2002-02-15",68,252,0,51
"2002-02-16",68,222,1,45
"2002-02-17",51,205,2,44
"2002-02-18",66,170,1,39
"2002-02-19",60,202,0,43
"2002-02-20",72,202,2,37
"2002-02-21",90,215,0,31
"2002-02-22",79,200,1,41
"2002-02-23",74,256,1,47
"2002-02-24",76,258,4,59
"2002-02-25",68,201,6,47
"2002-02-26",74,185,3,32
"2002-02-27",67,188,0,28
"2002-02-28",83,199,1,41
"2002-03-01",83,241,2,55
"2002-03-02",54,205,0,49
"2002-03-03",44,223,0,31
"2002-03-04",49,152,1,27
"2002-03-05",66,172,1,29
"2002-03-06",77,197,0,26
"2002-03-07",82,232,0,40
"2002-03-08",104,275,1,54
"2002-03-09",60,222,2,40
"2002-03-10",47,215,1,48
"2002-03-11",95,213,1,37
"2002-03-12",93,230,1,41
"2002-03-13",92,287,1,44
"2002-03-14",93,302,1,50
"2002-03-15",111,289,1,58
"2002-03-16",58,244,4,36
"2002-03-17",66,252,0,43
"2002-03-18",81,216,3,43
"2002-03-19",116,253,1,43
"2002-03-20",92,203,0,42
"2002-03-21",95,217,1,41
"2002-03-22",73,223,5,32
"2002-03-23",64,267,3,43
"2002-03-24",69,244,2,54
"2002-03-25",82,200,0,28
"2002-03-26",79,216,1,36
"2002-03-27",92,238,2,34
"2002-03-28",83,298,3,44
"2002-03-29",69,215,1,63
"2002-03-30",91,267,2,54
"2002-03-31",65,297,1,36
"2002-04-01",77,242,1,45
"2002-04-02",95,252,3,34
"2002-04-03",98,255,1,49
"2002-04-04",77,237,4,36
"2002-04-05",110,286,1,59
"2002-04-06",77,253,0,60
"2002-04-07",49,208,0,47
"2002-04-08",81,198,1,39
"2002-04-09",82,248,1,43
"2002-04-10",97,314,1,39
"2002-04-11",101,318,4,51
"2002-04-12",92,237,0,57
"2002-04-13",76,263,4,52
"2002-04-14",93,310,1,55
"2002-04-15",104,306,2,61
"2002-04-16",95,288,1,41
"2002-04-17",90,292,2,36
"2002-04-18",99,289,1,55
"2002-04-19",99,245,3,55
"2002-04-20",79,240,0,42
"2002-04-21",50,232,2,39
"2002-04-22",64,199,1,44
"2002-04-23",95,212,2,42
"2002-04-24",94,262,2,36
"2002-04-25",98,213,1,42
"2002-04-26",83,283,2,35
"2002-04-27",69,268,0,56
"2002-04-28",60,240,1,47
"2002-04-29",99,274,0,41
"2002-04-30",76,263,1,35
"2002-05-01",102,246,0,46
"2002-05-02",96,216,1,45
"2002-05-03",84,270,4,44
"2002-05-04",84,301,2,60
"2002-05-05",101,323,1,40
"2002-05-06",97,294,3,42
"2002-05-07",85,266,0,46
"2002-05-08",109,277,2,44
"2002-05-09",99,260,2,36
"2002-05-10",98,323,1,35
"2002-05-11",75,259,3,59
"2002-05-12",67,253,1,25
"2002-05-13",94,279,2,46
"2002-05-14",126,301,3,44
"2002-05-15",132,316,0,44
"2002-05-16",102,248,1,48
"2002-05-17",97,270,1,40
"2002-05-18",92,288,2,42
"2002-05-19",80,276,4,51
"2002-05-20",109,246,2,41
"2002-05-21",124,259,3,47
"2002-05-22",108,284,1,37
"2002-05-23",108,300,1,56
"2002-05-24",100,247,2,50
"2002-05-25",95,301,0,46
"2002-05-26",103,316,6,51
"2002-05-27",115,373,1,40
"2002-05-28",123,341,1,44
"2002-05-29",127,311,1,40
"2002-05-30",120,341,0,46
"2002-05-31",127,322,0,60
"2002-06-01",123,397,2,49
"2002-06-02",121,368,2,64
"2002-06-03",108,245,0,53
"2002-06-04",101,246,5,60
"2002-06-05",94,245,0,36
"2002-06-06",100,287,1,40
"2002-06-07",126,298,2,61
"2002-06-08",83,318,4,46
"2002-06-09",92,374,2,59
"2002-06-10",104,322,2,44
"2002-06-11",109,309,2,54
"2002-06-12",119,315,4,45
"2002-06-13",87,276,3,44
"2002-06-14",87,249,4,42
"2002-06-15",94,336,2,48
"2002-06-16",113,375,0,50
"2002-06-17",100,305,2,52
